වචනය,"සමාන පදමාලාව"
"අංගය, අඞ්ගය","1. [නා.] අතපය ආදි ශරීරයේ කොටස්; ශරීර අවයවය.<br>
2. [නා.] සිරුර; කය; ශරීරය.<br>
3. [නා.] කොටස; භාගය; ප්‍රභේදය.<br>
4. [නා.] ලක්ෂණය.<br>
5. [නා.] ගුණය; ශීලය; ව්‍රතය; ප්‍රතිපත්තිය.<br>
6. [නා.] පිළිවෙළ; ක්‍රමය.<br>
7. [නා.] කුඹුරක කෙළවරක පිහිටි නෙරාගිය තීරය; වෙල්යායකින් පසෙකට විහිදී ගිය පටු තීරය."
අංගවිකල,"[වි.] ශරීර අවයව හරියාකාර ව නොපිහිටි; අංග විකෘති."
අංගහාරය,"[නා.] අත පා ආදි අවයව සෙලවීම; අංග චලනය."
අංගහීන,"[වි.] ශරීරයේ අවයව අඩු වූ; අසම්පූර්ණ අවයව ඇති."
අංගාංගී,"[අංග+අංගී]<br>
[නා.ප්‍ර.] අංග සහ උපාංග; ශරීරය සහ අත් පා ආදි අවයව.<br>
[වි.] අංග සහ උපාංග දරන."
අංගාණිය,"[නා.] කඩ වීදිය; වෙළඳ වීථිය."
"අංගාර ධානිකාව","[නා.] අඟුරු කබල; ගිනි කබල."
"අංගාර මාංසය","[නා.] ගිනි අඟුරෙහි ලා පුලුස්සා ගත් දඩමස; ගින්නේ පළහන ලද මස."
අංගාරකය,"1. [නා.] ගිනි අඟුර; නිවුණු ගිනි අඟුර.<br>
2. [නා.] අඟහරු හෙවත් කුජ ග්‍රහයා."
අංගාරකරණය,"1. (පාරිභා.) [නා.] ද්‍රව්‍යයක් අඟුරු කාබන් හෝ කෝක් බවට පත් කිරීම.<br>
2. (පාරිභා.) [නා.] පිටපත් ගැනීම සඳහා කඩදාසියක කාබන් ආලේප කිරීම (=carbonisation)."
අංගාරධර,"(පාරිභා.) [වි.] අංගාරධර පාෂාණ පිළිබඳ; ගල්අඟුරු සාදන (=Carboniferous)"
අංගාරමය,"[වි.] අඟුරු වූවාක් ලෙස පෙනෙත; කාබන් ඇතුළත් අවසායිත නිධි පිළිබඳ වූ (=Carbonaceous)"
"අංගාරය, අඞ්ගාරය","1. [නා.] අඟුර; ගිනි අඟුර.<br>
2. [නා.] අඟුරුවල ඇති කාබන් නම් වූ තාත්වික පදාර්ථය."
අංගාරිකාම්ලය,"[නා.] අංගාර ධාතුව දැවීමෙන් හෝ සංයුක්ත වස්තු කුණු වී පැසීමෙන් හෝ හටගන්නා වායුව; කාබන් සහ ඔක්සිජන් සංයෝග වූ කාබන්ඩයොක්සයිඩ් වායුව."
අංගිය,"1. [නා.] සිරුරක් ඇත්තී; ස්ත්‍රිය.<br>
2. [නා.] ඇඟ ලන සැට්ටය; කංචුකය."
අංගී,"[වි.] අවයව ඇති; සිරුරක් ඇති; අංගවලින් යුක්ත."
අංගීරස,"[නා.ප්‍ර.] බුදුන්වහන්සේ.<br>
[වි.] සිරුරෙන් විහිදෙන රැස් ඇති; බබළන සිරුරක් ඇති."
අංගුට්ට,"(කථා.) [නා.] අත්පාවල මහ ඇඟිල්ල; මාපටැඟිල්ල."
"අංගුටු මිට්ටා","(කථා.) [නා.] අඟුටුමිට්ටා."
"අංගුත්තර නිකාය","[නා.ප්‍ර.] පාලි සූත්‍ර පිටකයේ නිකාය ග්‍රන්ථ පහ අතුරින් එකක්; මෙහි නිපාතයක් පාසා පිළිවෙළින් අංග වැඩි වන සේ යොදා තිබෙන බැවින් එනම් විය."
අංගුලය,"[නා.] ඇඟිලි මිම්ම; අඟල; වියතින් නවයෙන් කොටස."
"අංගුලි පර්වය","[නා.] ඇඟිලි පුරුක; ඇඟිල්ලේ එක් එක් සන්ධියකින් සීමා වූ කොටස."
අංගුලිකා,"1. [නා.ප්‍ර.] ඇඟිල්ල; කුඩා ඇඟිල්ල; සුළැඟිල්ල.<br>
2. [නා.ප්‍ර.] බඩවැලෙහි ඇඟිලි හැඩය ගත් කෙඳි වැනි ප්‍රසර."
අංගුලිය,"[නා.] ඇඟිල්ල."
අංචිත,"[වි.] පුදන ලද; වන්දනය කරනු ලැබූ."
"අංචිය, අඤ්චිය","1. (කථා.) [නා.] යමකුට කරදර කිරීමෙහි යොදන උපාය; උගුල.<br>
2. [නා.] ඇබැද්දිය; අකරතැබ්බය."
"අංජන කැට","[නා.ප්‍ර.] ඇස්වල ගෑමට ගන්නා ඛනිජ ධාතු විශේෂයක්."
"අංජන කුලය","(නා. ) කාළවර්ණ වූ ඇත් කුලයක්."
"අංජන ශලාකාව","[නා.] අඳුන් ගාන තෙලිකූර."
"අංජනදලූ, අඤ්ජනදලූ","[නා.ප්‍ර.] ලී ලෝහ ආදියෙහි කැටයම් කරනු ලබන ලියකම් විශේෂයක්."
"අංජනම, අඤ්ජනම","1. [නා.ප්‍ර.] අඳුන; ඇසෙහි ගාන රසායන බෙහෙත.<br>
2. [නා.ප්‍ර.] පේන බැලීම පිණිස ජීවම් කරගන්නා ලද ආලේප විශේෂය."
"අංජනම් දේවී, අඤ්ජනම් දේවී","[නා.] අංජනම් එළියෙන් ශාස්ත්‍ර කීමට උදවු වෙතියි විශ්වාස කරනු ලබන දෙව්දුව."
"අංජනය, අඤ්ජනය","[නා.] ඇස අඳුන් ආලේප කිරීම; ඇස ගාන ආලේපය."
"අංජලි, අඤ්ජලි","[නා.ප්‍ර.] අංජලිය; අඤ්ජලිය බ."
"අංජලිකරණය, අඤ්ජලිකරණය","[නා.] දොහොත් මුදුන් දී කරන නමස්කාරය; ඇඳිලි බැඳීම."
"අංජලිපුටය, අඤ්ජලිපුටය","[නා.] ඇඟිලි එකතු කොට ගොටු ගසා එසවූ දෙඅත්ල; නමස්කාර වශයෙන් එක් කොට නැඟූ දෝත."
"අංජලිය, අඤ්ජලිය","[නා.] ඇඟිලි එකතු වන සේ ඔසවා ගත් දෙඅත; අභිවාදනයට නැඟූ දෝත."
"අංබරුවා, අංබාරුවා","(කමත්.) [නා.] ගවයා; මීමා."
අංමඩුව,"[නා.] අං ආබරණ පේ කොට තබන මඩුව."
අංමුවා,"[වි.] අඟින් සාදන ලද."
"අංශ රූපය","[නා.] අංශයක් පෙන්වන රූපය; පාර්ශ්වයක ආකාරය දක්වන ප්‍රතිබිම්බය."
අංශකය,"1. [නා.] කොටස; භාගය.<br>
2. [නා.] වෘත්තයකින් 1/360 පංගුව.<br>
3. [නා.] පෘථිවිගෝලය පරික්ෂේප කොට තිබෙන රේඛාවකින් 1/360 කොටස.<br>
4. (පාරිභා.) [නා.] උෂ්ණත්වය මැනීමේ ඒකකය; කෝණ මැනීමේ ඒකකය(=degree)."
"අංශභාගය, අංසභාගය","[නා.] ශරීරයේ එක් අංශයක් පණ නැති වීම ලක්ෂණ කොට ඇති රෝගය; පක්ෂාඝාතය."
අංශය,"1. [නා.] භාගය; පංගුව.<br>
2. [නා.] දිශාව; පැත්ත.<br>
3. (පාරිභා.) [නා.] පාර්ශ්වය (=lateral); කොටස (=inaredient); පාදය (=side).<br>
4. [නා.] යම්කිසි කාර්ය මණ්ඩලයක ශාඛාව."
අංශුක,"1. [නා.ප්‍ර.] සිනිඳු රෙද්ද.<br>
2. වැස්ම; කබාය; හැට්ටය."
අංශුධර,"[නා.ප්‍ර.] රශ්මි ධාරා දරන්නා; හිරු; සූර්යයා."
අංශුමාත්‍රය,"[නා.] ඉතා ටික; ඉතා ස්වල්පය; බිංදු මාත්‍රය."
අංශුමාලාව,"[නා.] රැස්මාලාව; ආලෝකධාරාව."
අංශුමාලී,"[නා.ප්‍ර.] රැස්මාලාවක් ඇති තැනැත්තා; සූර්යයා."
අංශුව,"1. [නා.] ඉතා කුඩා කොටස; කුඩා කැබැල්ල; ස්වල්පය.<br>
2. [නා.] ආලෝක ධාරාව; රශ්මිය."
"අංස මර්මය","[නා.] උරහිස හා ගෙල අතර පිහිටි මරුපළ."
"අංසකඩය, අංසකඩේ","[නා.] භික්ෂූන් වහන්සේ සිවුරට යටින් වම් උරය වසා අඳින සැට්ට විශේෂය."
අංසකය,"1. [නා.] උරහිස.
2. [නා.] ශරීර පාර්ශ්වය.
3. [නා.] අංසකඩය."
අංසකූටය,"[නා.] උරහිස; දසරුව."
අංසානම,"[නා.] ජල යාත්‍රාවල රුවල ගැට ගසන රිට; රුවල් ලීය."
අංසිනය,"[නා.] අංශයක් දුබල වීම; අංශයක් හානි වීම; අබ්බගාතය."
අඃ,"[නි.] කෝපය, සන්තාපය, ඛේදය, පසුතැවිල්ල ආදි අර්ථ ප්‍රකාශ කරන නිපාත පදයක්."
අඍක්,"[නා.ප්‍ර.] ලේ; රුධිරය."
අක,"1. [නා.] දුක; ශෝකය; වධය; වේදනාව.
2. [නා.] ඇස; නේත්‍රය.
3. [නා.] දාදු කැටය.
4. [නා.] දූ කෙළිය.
5. [නා.] වී ඇට විස්සක බර.
6. [නා.] වී ඇට විස්සක බරින් යුත් රන් කාසිය.
7. [නා.] ටික; ස්වල්පය.
8. [නා.] රියෙහි අලවංගුව.
9. [නා.] ලකුණ; සටහන.
10. [නා.] අංකය; ඉලක්කම.
11. [නා.] විදුලිය.
[වි.] පටු; හැකුළුණු."
අකටයුතු,"[වි.] කිරීමට නුසුදුසු; නොකළ යුතු වූ; අයුතු."
අකටවිකට,"[නා.ප්‍ර.] විහිළු තහළු; විගඩම්; උසුළු විසුළු."
අකඩ,"[වි.] නොකැඩුණු; අඛණ්ඩ."
අකණ,"1. [නා.] පින් කළ නොහැකි කාලය; නුසුදුසු කාලය; අක්ෂණය.
2. [නා.] විදුලිය; අකුණු පහර; විද්යුල්ලතාව."
අකත,"[වි.] නොකළ; නොසාදන ලද."
"අකනිටා, අගනිටා","[නා.ප්‍ර.] බ්‍රහ්මලෝක දහසයෙන් එකක නාමය."
අකපට,"[නා.] නවගුණවැල; අක්ෂමාලාව.
[වි.] කපටි නොවූ."
අකපටු,"1. [වි.] හැකුළුණු.
2. [වි.] ගැවසී ගත්."
අකප්පිය,"(විනය.) [වි.] නුසුදුසු; අකැප; අසාරුප්‍ය."
"අකබඹරු, අක්බඹුරු","[වි.] අගින් කරකැවී ගිය; අග වකුටු වූ;"
"අකම්, අකර්මක","(ව්‍යාක.) [වි.] කර්ම පදයක් නොගන්නා; කර්මයක් නොමැති."
"අකම්ප, අකම්පිත, අකම්ප්‍ය","[වි.] නොසෙල්වෙන; කම්පා නොවන."
"අකමැති, අකැමැති","[වි.] කැමැත්තක් නැති: අරුචි"
අකර,"1. [නා.] අකුර; අක්ෂරය.
2. [නා.] අංකුරය; මොරෙය්යා.
3. [නා.] යම් යම් දේ එකතු වී ඇති තැන; ඛනිජ සම්පත් එක්රැස් වී ඇති ස්ථානය; ආකරය.
4. [නා.] ආකාරය; අයුර."
අකරණීය,"[වි.] නොකටයුතු; නොකළමනා; අකර්තව්‍ය."
අකරතැබ්බය,"[නා.] බලාපොරොත්තු නොවූ කරදරය."
අකරදාරුව,"[නා.] ප්‍රථම භාර්යාවගෙන් දික්කසාද නොවී දෙවන භාර්යාවක් පාවා ගැනීමේ දී පුරුෂයකු විසින් එම දෙවන කාන්තාව වෙත දෙනු ලබන පොරොන් පත්‍රය."
අකර්ණනය,"[නා.] ඇසීම; ශ්‍රවණය කිරීම."
අකර්තව්‍ය,"[වි.] නොකළ යුතු; නොකටයුතු."
"අකර්මක ක්‍රියාව","(ව්‍යාක.) [නා.] කර්මයක් අපේක්ෂා නොකරන ක්‍රියා පදය."
"අකර්මක ධ්‍රැවය","(පාරිභා.) [නා.] වැඩියෙන් ම බීජාන්නය ඇත්තා වූ ද ඩිම්බ න්‍යෂ්ටියෙන් හැකිතාක් දුරස්තර වූ ද මතුපිට වූ ලක්ෂ්‍යය (=vegetative pole)."
"අකර්මක ධාතුව","[නා.] (ව්‍යාක.) කර්මයක් අපේක්ෂා නොකරන ධාතුව හෙවත් ක්‍රියා මූලය."
අකර්මජ,"[වි.] කර්මයෙන් නූපන්; කර්මයෙන් නොහටගත්."
අකර්මණ්‍ය,"1. [වි.] යම් කටයුත්තක නොයෙදිය හැකි; අලස; කුසීත.
2. [වි.] පොලී ගෙවීමක් නැති; වැඩකට නොයොදන ලද."
අකල,"[නා.] නුසුදුසු කාලය; අනියම් කාලය."
"අකලංක, අකලඞ්ක","[වි.] කැළැල් නැති; ලප නැති."
අකල්,"1. [වි.] අකාලයෙහි වූ; නොකල්හි සිදු වන; අවේලාවෙහි වු.
2. [වි.] යහපත් නොවූ; ප්‍රිය නොවූ; අකල්‍ය.
[නා.ප්‍ර.] නුසුදුසු කාලය; අනියම් කාලය."
"අකල් මරණය","[නා.] අකාලයේ සිදු වූ මරණය."
අකල්මාෂ,"[වි.] ලප රහිත; නොකැළැල්."
අකල්ලකයා,"[නා.] ලෙඩ වූ තැනැත්තා; රෝගියා."
අකවටුව,"[නා.] උක්කුටික ව හිඳ ගැනීමේ ක්‍රමයක්."
අකවනවා,"1. (කථා.) [ක්‍රි.] හිරකරනවා; අවුරනවා.
2. [ක්‍රි.] (කුඹුරක වතුර) නවත්වනවා."
අක්,"[නා.ප්‍ර.] අග; කෙළවර; මුදුන."
"අක් දකිනවා","[ක්‍රි.] කෙළවර දකිනවා; යම් කටයුත්තක් නිමාවට පැමිණෙනවා."
"අක් දලුව","[නා.] මුදුනේ ඇති දලුව; අකුරුදල්ල."
"අක් දහර","[නා.] කඳුල; අක්ෂි ධාර; අශ්‍රධාරාව."
"අක් දූව","[නා.] පස ඇට දමන සූදුව; කැටගැසීම."
"අක් දෙරිය","[නා.] ගෙයක ඉදිරිපස වූ පිල් කෙළවර; ආලින්දය; නිසවත්ත."
"අක් වැල්ල","[නා.] ගොඩබිම කෙළවරෙහි මුහුදු ජලය හා ස්පර්ශ වෙමින් පවතින වැලි තීරුව."
"අක් වැස්ම","[නා.] පැළෑටියක මුලේ කෙළවර පවතින ආරක්ෂක කොපුව."
"අක් වැස්ස","[නා.] ග්‍රීෂ්ම සෘතුව අග දී කලක් වැසි නැති ව තිබී වසින වැස්ස; අලුත් වැස්ස."
අක්උවටා,"[නා.ප්‍ර.] බුදුරජාණන් වහන්සේට උපස්ථාන කරන්නවුන් ගෙන් අගතැන්පත් තැනැත්තා; අග්‍රෝපස්ථායකයා."
අක්කණ්ඩි,"1. [නා.] වැඩිමහල් සහෝදරිය; අක්කා.
2. [නා.] තමාට වඩා වැඩිමහල් ස්ත්‍රිය."
අක්කම්මා,"(කථා.) [නා.] මව ගේ වැඩිමහල් සොහොයුරිය; ලොකු අම්මා; මහම්මා."
අක්කමාව,"[නා.] පැකිලීම; පසුබෑම; අක්ෂමාව."
අක්කර,"[නා.ප්‍ර.] අක්කරය බ."
"අක්කර ඉඩම","[නා.] ආණ්ඩුවෙන් මැන බේරුම් කළ ඉඩම; අක්කර වශයෙන් ආණ්ඩුවෙන් මිලට ගන්නා ඉඩම."
"අක්කර බද්ද","ඉඩම් අයිතිකරුවන්ගෙන් ඉඩම් භුක්තිය වෙනුවෙන් අය කරන වාර්ෂික බදු මුදල."
"අක්කරම්, අක්කාරම්","[නා.ප්‍ර.] කුඩා දරුවන් ගේ දිවෙහි බැඳෙන සුදු හෝ කළු මැලියම් සහ එය ලක්ෂණ කොට ඇති රෝගය; උල්ලෝගම්."
අක්කරමාව,"( කථා) [නා.] අකුරක ප්‍රමාණය; ඉතා ස්වල්පය අක්ෂර මාත්‍රය."
අක්කරය,"[නා.] වර්ග යාර 4840 ක හෙවත් රූඩ් හතරක හෙවත් පර්චස් එකසිය හැටක බිම් ප්‍රමාණය; හෙක්ටයාර් 0.405 ක ක්ෂේත්‍රඵලය."
අක්කල්,"[වි.] දුර්වල; පිරිහුණු."
"අක්කල් කැස්ස","[නා.] කක්කල් කැස්ස. හුස්ම ගැන්මට අපහසු වන තෙක් දැඩි කැස්සක් ඇති කරන රෝගය."
අක්කස්ස,"[නා.] කුඹුර; කෙත."
අක්කා,"1. [නා.] වැඩිමහල් සහෝදරිය; දෙටු සොහොයුරිය.
2. (කථා.) තමාට වැඩිමහල් ස්ත්‍රිය."
අක්කැත්ත,"1. [නා.] අග කොටස; අන්තිම කෙළවර.
2. [නා.] යුෂ සඳහා කිතුල් මලක් හෝ පොල් මලක් අවසාන වරට කැපීම.
3. [නා.] කුඩා කැත්ත."
අක්කැමියා,"[නා.] අගය නියම කරන්නා; තක්සේරුකරු."
අක්කියාළ,"(කථා.) [නා.] ගොයම් කපා පළමුවෙන් ම බුදුන් වහන්සේට හෝ දෙවියන්ට හෝ වෙන් කරන කොටස."
අක්කෝසකයා,"[නා.] ගරහන්නා; පරිභව කරන්නා."
අක්කෝසනය,"[නා.] ගැරහීම; පරිභව කිරීම."
අක්කෝසය,"[නා.] පරිභවය; ආක්‍රෝශය."
අක්ඛ,"1. [නා.ප්‍ර.] රථයක අලවංගුව; අක්ෂය.
2. [නා.ප්‍ර.] දූ කෙළිය; දූ කෙළියේ දී භාවිත කරන දාදු කැටය.
3. [නා.ප්‍ර.] විනිශ්චය ශාලාව."
"අක්ඛ ධූර්තයා","[නා.] දූ කෙළියෙහි ලොල් තැනැත්තා."
"අක්ඛ සොණ්ඩයා","[නා.] සූදුකාරයා; දූ කෙළියට ඇබ්බැහි වු තැනැත්තා."
අක්ඛරය,"1. [නා.] අකුර; අක්ෂරය.
2. [නා.] වෙනස් නොවන තැන; නිවන."
"අක්ඛි මල","[නා.] ඇසෙහි ඇති වන මල; කබ."
"අක්ත පත්‍රය","[නා.] නිල හෝ පදවි පැවරීමේ දී පිරිනැමෙන ලියවිල්ල; තානාන්තර බලපත්‍රය."
අක්තලය,"(පාරිභා.) [නා.] කෘමීන්ගේ අවසාන උදර දෛහ පිණ්ඩයේ පිටිතලය (=pygidium)."
අක්දිවි,"[නා.ප්‍ර.] සූදුකාරයා; අක්ෂධූර්තයා."
අක්නිය,"1. [නා.] නිය පොත්තේ කෙළවර; නිය අග.
2. බඩගින්න; කුසගින්න ජඨරාග්නිය."
"අක්පතළය, අක්පතළාව","[නා.] ආහාර පිසීමට ගනු ලබන කට පළල් ලොකු මැටි බඳුන; ඇතිළිය; අප්පල්ල."
අක්පය,"[නා.] පයෙහි අග කොටස; පා අග; පාදාන්තය."
"අක්පා මට්ටම","(පාරිභා.) [නා.] ජම්බාර කනු බැස්සීමේ දී එහි පත්ල රඳවන මට්ටම."
අක්පාව,"(පාරිභා.) [නා.] වේල්ලක යටිගං පැත්තෙහි පිහිටි පතුල් කෙළවර."
අක්පිටුව,"අ. [නා.] පිටපැත්තේ කෙළවර; අග පිට පැත්ත."
අක්පිල්ල,"[නා.] මාළු බාන බිළී පිත්තෙහි කෙළවර."
අක්පෙනුම,"(පාරිභා.) [නා.] යම් දෙයක කෙළවරකින් බැලූ විට එය පෙනෙන ආකාරය."
අක්බමරය,"[නා.] පුවක් ගෙඩියක හැඩහුරුකමට ලීයෙන් තනා නූලක් ඔතා බිම ගසා කරකවන බමර විශේෂයක්."
අක්බරුව,"[නා.] කිතුල් මල්, කෙහෙල්මල් ආදිය පහතට නැමීම සඳහා බර පිණිස අගට එල්ලන ගල"
අක්මඩිය,"(පාරිභා.) [නා.] ඇතැම් සන්ධිපාදිකයන් ගේ සිලෝමිත ප්‍රණාලයක් අවසාන වන කුඩා සිලෝමිත කෝෂය."
අක්මනවා,"1. [ක්‍රි.] පාගනවා; පා තබනවා; මඬිනවා.
2. [ක්‍රි.] පරාජය කරනවා; මඬිනවා.
3. [ක්‍රි.] ඉක්මවනවා; අතික්‍රමණය කරනවා."
"අක්මා ශාකය","(පාරිභා.) [නා.] බ්‍රියෝපීට ශාක කාණ්ඩයට අයත් පාසි වර්ගවලට නෑකම් කියන පැතලි ශාක වර්ගයක් (=liverwort)."
